match_id,innings_number,powerplay_type,from_over,to_over
1074964,1,mandatory,0.1,5.6
1074964,2,mandatory,0.1,5.6
1074965,1,mandatory,0.1,5.6
1074965,2,mandatory,0.1,5.6
1074966,1,mandatory,0.1,5.6
1074966,2,mandatory,0.1,5.6
1074968,1,mandatory,0.1,5.6
1074968,2,mandatory,0.1,5.7
1074970,1,mandatory,0.1,5.6
1074970,2,mandatory,0.1,5.6
1075507,1,mandatory,0.1,5.7
1075507,2,mandatory,0.1,5.6
1075508,1,mandatory,0.1,5.6
1075508,2,mandatory,0.1,5.6
1077947,1,mandatory,0.1,5.6
1077947,2,mandatory,0.1,5.7
1077948,1,mandatory,0.1,5.6
1077948,2,mandatory,0.1,5.7
1083449,1,mandatory,0.1,5.6
1083449,2,mandatory,0.1,5.6
1083450,1,mandatory,0.1,5.7
1083450,2,mandatory,0.1,5.7
1085495,1,mandatory,0.1,5.6
1085495,2,mandatory,0.1,5.6
1085496,1,mandatory,0.1,5.6
1085496,2,mandatory,0.1,5.6
1089202,1,mandatory,0.1,5.6
1089202,2,mandatory,0.1,5.6
1089203,1,mandatory,0.1,5.6
1089203,2,mandatory,0.1,5.6
1089243,1,mandatory,0.1,5.7
1089243,2,mandatory,0.1,5.6
1098211,1,mandatory,0.1,5.6
1098211,2,mandatory,0.1,5.6
1109610,1,mandatory,0.1,5.6
1109610,2,mandatory,0.1,5.6
1115798,1,mandatory,0.1,5.7
1115798,2,mandatory,0.1,5.6
1115799,1,mandatory,0.1,5.7
1115800,1,mandatory,0.1,5.6
1115800,2,mandatory,0.1,5.6
1115807,1,mandatory,0.1,5.6
1115807,2,mandatory,0.1,5.7
1115808,1,mandatory,0.1,5.6
1115808,2,mandatory,0.1,5.6
1115809,1,mandatory,0.1,5.6
1115809,2,mandatory,0.1,5.6
1117821,1,mandatory,0.1,5.6
1117821,2,mandatory,0.1,5.6
1117822,1,mandatory,0.1,5.6
1117822,2,mandatory,0.1,5.6
1117824,1,mandatory,0.1,5.6
1117824,2,mandatory,0.1,5.6
1119501,1,mandatory,0.1,5.6
1119501,2,mandatory,0.1,1.6
1119502,1,mandatory,0.1,5.6
1119502,2,mandatory,0.1,5.6
1119542,1,mandatory,0.1,5.6
1119542,2,mandatory,0.1,5.7
1119543,1,mandatory,0.1,5.6
1119543,2,mandatory,0.1,5.6
1119544,1,mandatory,0.1,5.6
1119544,2,mandatory,0.1,5.6
1119545,1,mandatory,0.1,5.6
1119545,2,mandatory,0.1,5.6
1120093,1,mandatory,0.1,5.6
1120093,2,mandatory,0.1,5.6
1120094,1,mandatory,0.1,5.6
