match_id,team
1001349,Australia
1001349,Sri Lanka
1001351,Australia
1001351,Sri Lanka
1001353,Australia
1001353,Sri Lanka
1004729,Ireland
1004729,Hong Kong
1007655,Zimbabwe
1007655,India
1007657,Zimbabwe
1007657,India
1007659,Zimbabwe
1007659,India
1019979,New Zealand
1019979,Bangladesh
1019981,New Zealand
1019981,Bangladesh
1019983,New Zealand
1019983,Bangladesh
1020029,New Zealand
1020029,South Africa
1031431,England
1031431,South Africa
1031433,England
1031433,South Africa
1031435,England
1031435,South Africa
1031665,West Indies
1031665,England
1034825,India
1034825,England
1034827,India
1034827,England
1034829,India
1034829,England
1041615,India
1041615,West Indies
1041617,India
1041617,West Indies
1043989,Australia
1043989,New Zealand
1043991,Australia
1043991,New Zealand
1043993,Australia
1043993,New Zealand
1044211,Sri Lanka
1044211,Australia
1050217,Pakistan
1050217,West Indies
1050219,Pakistan
1050219,West Indies
1050221,Pakistan
1050221,West Indies
1050615,New Zealand
1050615,Pakistan
1065348,India
1065348,Pakistan
1072316,New Zealand
1072316,Australia
1072317,England
1072317,Australia
1072318,England
1072318,Australia
1072319,New Zealand
1072319,England
1072320,New Zealand
1072320,Australia
1072321,England
1072321,New Zealand
1072322,New Zealand
1072322,Australia
1074957,Hong Kong
1074957,Scotland
1074959,Netherlands
1074959,Oman
1074961,Hong Kong
1074961,Oman
1074964,Netherlands
1074964,Scotland
1074965,United Arab Emirates
1074965,Ireland
1074966,Hong Kong
1074966,Netherlands
1074968,Oman
1074968,Scotland
1074970,Ireland
1074970,Scotland
1075507,South Africa
1075507,Bangladesh
1075508,South Africa
1075508,Bangladesh
1077947,West Indies
1077947,Pakistan
1077948,West Indies
1077948,Pakistan
1083449,Sri Lanka
1083449,Bangladesh
1083450,Sri Lanka
1083450,Bangladesh
1085495,West Indies
1085495,Pakistan
1085496,West Indies
1085496,Pakistan
1086067,England
1086067,Australia
1086068,England
1086068,Australia
1086069,Australia
1086069,England
1089202,United Arab Emirates
1089202,Papua New Guinea
1089203,United Arab Emirates
1089203,Papua New Guinea
1089243,United Arab Emirates
1089243,Papua New Guinea
1098211,West Indies
1098211,India
1109610,Sri Lanka
1109610,India
1115798,New Zealand
1115798,West Indies
1115799,New Zealand
1115799,West Indies
1115800,New Zealand
1115800,West Indies
1115807,Pakistan
1115807,New Zealand
1115808,Pakistan
1115808,New Zealand
1115809,Pakistan
1115809,New Zealand
1117821,Pakistan
1117821,ICC World XI
1117822,Pakistan
1117822,ICC World XI
1117824,Pakistan
1117824,ICC World XI
1119501,Australia
1119501,India
1119502,India
1119502,Australia
1119542,England
1119542,Australia
1119543,England
1119543,India
1119544,India
1119544,England
1119545,England
1119545,India
1120093,India
1120093,New Zealand
1120094,New Zealand
1120094,India
1120095,India
1120095,New Zealand
1120291,Sri Lanka
1120291,Pakistan
1120292,Sri Lanka
1120292,Pakistan
1120293,Pakistan
1120293,Sri Lanka
1122285,India
1122285,South Africa
1122286,India
1122286,South Africa
1122287,India
1122287,South Africa
1122729,India
1122729,Sri Lanka
1122730,India
1122730,Sri Lanka
1122731,Sri Lanka
1122731,India
1122902,West Indies
1122902,Sri Lanka
1122908,New Zealand
1122908,Pakistan
1122909,New Zealand
1122909,Pakistan
1122910,Pakistan
1122910,New Zealand
1123206,South Africa
1123206,India
1123207,South Africa
1123207,India
1123208,India
1123208,South Africa
1123209,South Africa
1123209,India
1123210,India
1123210,South Africa
1126720,New Zealand
1126720,South Africa
1126721,England
1126721,South Africa
1126722,England
1126722,South Africa
1126723,England
1126723,New Zealand
1126724,South Africa
1126724,New Zealand
1126725,New Zealand
1126725,England
1126726,New Zealand
1126726,England
1127300,Pakistan
1127300,Scotland
1127301,Pakistan
1127301,Scotland
1130746,Bangladesh
1130746,Sri Lanka
1130747,Sri Lanka
1130747,Bangladesh
1131235,India
1131235,Australia
1131236,Australia
1131236,England
1131237,India
1131237,England
1131238,Australia
1131238,India
1131239,England
1131239,Australia
1131240,England
1131240,India
1131241,Australia
1131241,England
1133817,India
1133817,Sri Lanka
1133818,Bangladesh
1133818,India
1133819,Sri Lanka
1133819,Bangladesh
1133820,Sri Lanka
1133820,India
1133821,India
1133821,Bangladesh
1133822,Sri Lanka
1133822,Bangladesh
1133823,Bangladesh
1133823,India
1138194,New Zealand
1138194,West Indies
1138195,New Zealand
1138195,West Indies
1138196,New Zealand
1138196,West Indies
1138198,West Indies
1138198,New Zealand
1138202,Sri Lanka
1138202,Pakistan
1138203,Pakistan
1138203,Sri Lanka
1140069,Pakistan
1140069,West Indies
1140070,Pakistan
1140070,West Indies
1140071,West Indies
1140071,Pakistan
1140384,England
1140384,Sri Lanka
1140992,India
1140992,Ireland
1140993,India
1140993,Ireland
1141232,West Indies
1141232,ICC World XI
1141835,Netherlands
1141835,Nepal
1142501,Netherlands
1142501,Ireland
1142502,Ireland
1142502,Netherlands
1142503,Ireland
1142503,Scotland
1142504,Scotland
1142504,Ireland
1142505,Netherlands
1142505,Scotland
1142506,Scotland
1142506,Netherlands
1142589,South Africa
1142589,Sri Lanka
1142913,Pakistan
1142913,Zimbabwe
